,NMI moyen,Erreur type NMI,Temps moyen (s),Erreur type Temps
OtrisymNMF,0.9969,0.0099,11.53,1.55
KN,0.9287,0.0131,62.39,6.13
KL_EM,0.9532,0.0138,66.73,9.11
MHA250k,0.9295,0.0159,169.25,4.79
SVCA,1.0,0.0,0.94,0.1
KN_SVCA,1.0,0.0,20.68,4.8
KL_EM_SVCA,1.0,0.0,17.58,5.64
MHA250k_SVCA,1.0,0.0,178.68,6.12
