,NMI moyen,Erreur type NMI,Temps moyen (s),Erreur type Temps
OtrisymNMF,1.0,0.0,12.45,1.55
KN,0.9286,0.0146,81.31,12.04
KL_EM,0.9566,0.0172,98.89,19.18
MHA250k,0.9208,0.0116,209.94,3.74
SVCA,0.9972,0.0052,0.88,0.04
KN_SVCA,1.0,0.0,35.15,8.01
KL_EM_SVCA,1.0,0.0,37.44,10.07
MHA250k_SVCA,1.0,0.0,243.13,4.35
