,NMI moyen,Erreur type NMI,Temps moyen (s),Erreur type Temps
OtrisymNMF,1.0,0.0,11.55,3.22
KN,0.9225,0.0185,48.49,13.54
KL_EM,0.9612,0.0129,52.29,8.85
MHA250k,0.9159,0.0189,162.44,29.23
SVCA,1.0,0.0,1.16,0.57
KN_SVCA,1.0,0.0,15.04,5.53
KL_EM_SVCA,1.0,0.0,10.71,5.45
MHA250k_SVCA,1.0,0.0,150.62,14.85
