,NMI moyen,Erreur type NMI,Temps moyen (s),Erreur type Temps
OtrisymNMF,1.0,0.0,11.39,1.52
KN,0.9343,0.0185,68.58,9.29
KL_EM,0.9532,0.0119,76.52,9.8
MHA250k,0.9259,0.0152,188.97,4.0
SVCA,0.9894,0.0198,0.9,0.05
KN_SVCA,1.0,0.0,23.42,6.17
KL_EM_SVCA,1.0,0.0,21.77,5.89
MHA250k_SVCA,1.0,0.0,212.23,5.14
