,NMI moyen,Erreur type NMI,Temps moyen (s),Erreur type Temps
OtrisymNMF,0.9709,0.0345,16.4,4.7
KN,0.9072,0.0214,180.55,63.49
KL_EM,0.9536,0.0121,196.77,71.74
MHA250k,0.93,0.0147,273.7,30.82
SVCA,0.836,0.0601,1.25,0.54
KN_SVCA,0.9981,0.0055,65.95,17.49
KL_EM_SVCA,0.9984,0.0044,87.89,28.31
MHA250k_SVCA,0.9948,0.0079,852.2,1534.56
