,NMI moyen,Erreur type NMI,Temps moyen (s),Erreur type Temps
OtrisymNMF,0.8393,0.0727,23.52,2.67
KN,0.3453,0.1207,245.04,76.89
KL_EM,0.9359,0.0217,338.76,45.03
MHA250k,0.4874,0.1699,320.82,16.45
SVCA,0.5164,0.063,1.03,0.14
KN_SVCA,0.9501,0.026,139.97,15.57
KL_EM_SVCA,0.9651,0.0139,184.64,24.73
MHA250k_SVCA,0.963,0.0175,381.03,29.47
